em_KEGG_ko,kegg_pathway_id,Overview_category,pathway_name
K00001,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00002,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00016,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00114,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00121,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00128,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00129,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00131,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00134,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00138,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00149,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00150,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00161,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00162,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00163,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00169,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00170,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00171,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00172,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00174,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00175,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00189,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00382,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00627,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00844,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00845,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00850,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00873,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00886,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00895,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00918,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00927,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01006,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01007,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01084,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01085,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01086,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01222,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01223,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01568,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01596,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01610,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01622,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01623,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01624,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01689,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01785,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01792,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01803,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01810,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01834,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01835,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01837,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01895,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01905,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K01913,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K02446,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K02753,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K02777,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K02779,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K02791,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K03103,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K03737,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K03841,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K04022,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K04041,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K04072,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K06859,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K08074,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K10705,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K11389,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K11532,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K11645,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K12406,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K12407,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K12957,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K13810,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K13951,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K13952,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K13953,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K13954,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K13979,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K13980,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K14028,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K14029,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K14085,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K15633,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K15634,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K15635,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K15778,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K15779,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K15916,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K16305,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K16306,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K16370,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K18857,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K18978,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K20118,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K20866,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K21071,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K22224,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K22473,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K22474,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K24012,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K24182,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K25026,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K27394,ko00010,Carbohydrate metabolism,Glycolysis / Gluconeogenesis
K00024,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00025,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00026,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00030,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00031,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00116,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00161,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00162,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00163,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00164,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00169,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00170,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00171,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00172,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00174,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00175,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00176,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00177,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00189,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00233,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00234,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00235,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00236,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00237,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00239,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00240,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00241,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00242,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00244,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00245,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00246,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00247,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00382,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00627,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00658,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01596,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01610,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01616,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01647,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01648,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01659,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01675,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01676,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01677,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01678,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01679,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01681,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01682,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01774,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01899,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01900,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01902,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01903,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01958,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01959,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K01960,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K03737,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K05942,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K15230,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K15231,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K17753,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K18118,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K18859,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K18860,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K25801,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K25995,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K25996,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K26318,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K27797,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K27802,ko00020,Carbohydrate metabolism,Citrate cycle (TCA cycle)
K00032,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00033,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00034,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00036,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00090,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00115,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00117,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00131,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00615,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00616,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00850,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00851,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00852,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00874,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00895,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00918,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00948,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01053,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01057,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01086,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01619,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01621,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01622,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01623,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01624,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01625,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01690,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01783,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01807,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01808,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01810,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01835,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K01839,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K02446,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K03738,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K03841,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K04041,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K05308,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K05774,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K06151,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K06152,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K06859,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K07404,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K08093,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K08094,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K11214,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K11395,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K11441,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K11529,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K11532,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K11645,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K13810,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K13812,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K13831,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K13937,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K15778,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K15779,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K15916,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K16305,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K16306,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K16370,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K17463,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K17464,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K17465,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K17466,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K17467,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K17468,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K18020,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K18021,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K18022,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K18124,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K18125,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K18126,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K18127,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K18128,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K18237,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K18978,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K19243,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K19813,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K21056,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K21071,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K21840,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K22199,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K22229,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K22345,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K22969,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K24182,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K25031,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K26208,ko00030,Carbohydrate metabolism,Pentose phosphate pathway
K00002,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00007,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00008,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00011,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00012,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00039,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00040,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00041,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00065,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00078,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00594,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00699,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00848,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00853,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00854,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00875,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00879,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00880,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00963,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01051,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01184,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01195,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01213,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01628,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01629,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01685,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01686,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01728,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01730,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01731,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01783,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01804,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01805,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01812,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01815,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01818,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K01820,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K03077,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K03078,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K03079,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K03331,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K05351,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K05352,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K08092,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K08322,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K08323,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K09988,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K12447,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K13247,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K13877,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K14259,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K14273,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K14274,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K14275,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K14756,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K16190,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K16849,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K16850,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K17738,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K17743,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K17818,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K18102,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K18103,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K18106,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K18107,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K19551,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K19588,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K19634,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K21030,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K21031,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K21619,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K21680,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K21681,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K22185,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K22186,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K22187,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K22396,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K22397,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K22539,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K22933,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K22935,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K22994,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K24442,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K24443,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K24707,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K25879,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K25880,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K25881,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K26066,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K26933,ko00040,Carbohydrate metabolism,Pentose and glucuronate interconversions
K00007,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00008,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00009,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00011,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00045,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00064,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00066,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00068,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00594,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00844,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00846,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00847,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00848,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00850,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00863,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00879,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00881,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00882,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00895,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00900,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00966,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00971,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K00976,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K01086,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K01103,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K01218,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K01622,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K01623,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K01624,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K01628,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K01629,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K01711,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
K01729,ko00051,Carbohydrate metabolism,Fructose and mannose metabolism
