em_KEGG_ko,kegg_pathway_id,Overview_category,pathway_name
K10723,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K10724,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K14937,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K14938,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K14939,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K14985,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K15824,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K15825,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K15826,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K15890,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K21013,ko00981,Metabolism of terpenoids and polyketides,Insect hormone biosynthesis
K00001,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K00121,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K00129,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K00157,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K00274,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K00485,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K00699,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K00799,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K04097,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K07409,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K07415,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K13299,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K13951,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K13952,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K13953,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K13980,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K17683,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K17689,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K17690,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K17709,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K17712,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K17718,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K17719,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K17721,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K23790,ko00982,Xenobiotics biodegradation and metabolism,Drug metabolism - cytochrome P450
K00088,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K00106,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K00207,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K00569,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K00622,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K00699,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K00757,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K00758,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K00760,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K00799,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K00857,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K00876,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K00940,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K01044,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K01195,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K01431,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K01464,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K01489,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K01519,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K01520,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K01951,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
K03782,ko00983,Xenobiotics biodegradation and metabolism,Drug metabolism - other enzymes
